0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
27,Cincinnati,4.5,14.0,18.6,0.03,0.03,83.0,10.0,68.4,194.0,27.0,34.0,31.0,0.82,0.45,0.36,27.0,15.0,18.0,15.0
28,Miami (Fla.) 🏀,11.4,7.0,18.4,-0.05,0.03,31.0,40.0,68.8,167.0,28.0,284.0,24.0,0.73,0.24,0.48,24.0,8.0,25.0,8.0
29,Texas Tech 🏀🥶💥🤕,11.6,6.8,18.4,0.03,0.03,30.0,43.0,67.5,247.0,33.0,104.0,35.0,0.81,0.38,0.44,26.0,12.0,22.0,10.0
30,Saint Louis 🏀📉💥,10.5,7.7,18.2,0.03,0.03,36.0,33.0,72.1,17.0,29.0,5.0,47.0,1.19,0.28,0.91,38.0,9.0,27.0,5.0
31,Georgia 🏀📉,13.1,5.0,18.1,-0.05,0.03,16.0,64.0,72.4,14.0,31.0,125.0,28.0,0.97,0.44,0.53,31.0,14.0,22.0,10.0
32,Utah State 🏀💥,12.4,5.5,18.0,0.03,-0.05,25.0,59.0,68.5,182.0,30.0,80.0,40.0,0.64,0.21,0.42,21.0,7.0,27.0,6.0
33,Oklahoma 🔥,14.6,2.7,17.3,0.03,-0.05,13.0,106.0,67.5,248.0,32.0,47.0,33.0,0.56,0.35,0.21,19.0,12.0,19.0,15.0
34,Texas 🏀🥶,13.0,3.9,16.9,-0.05,-0.05,20.0,83.0,67.9,226.0,35.0,243.0,34.0,0.38,0.28,0.09,12.0,9.0,18.0,14.0
35,Santa Clara 🏀,12.8,4.1,16.9,-0.05,0.03,21.0,77.0,70.1,93.0,34.0,223.0,58.0,0.67,0.36,0.3,22.0,12.0,25.0,8.0
36,VCU 🏀🔥,9.9,6.8,16.6,0.03,0.03,40.0,42.0,69.9,102.0,40.0,142.0,53.0,0.56,0.41,0.15,19.0,14.0,27.0,7.0
37,Clemson 🏀🥶🔒🤕,6.4,10.1,16.5,-0.05,0.03,71.0,19.0,65.6,337.0,36.0,283.0,46.0,0.62,0.26,0.35,21.0,9.0,24.0,10.0
38,NC State 🥶💥,11.6,4.8,16.4,-0.05,-0.05,29.0,68.0,70.2,87.0,37.0,88.0,25.0,0.82,0.44,0.38,28.0,15.0,20.0,14.0
39,BYU 🏀📉🤕,9.8,6.6,16.4,-0.05,-0.05,41.0,46.0,70.9,48.0,38.0,16.0,19.0,0.52,0.39,0.12,17.0,13.0,23.0,11.0
40,TCU 🏀,6.9,9.2,16.1,0.03,0.03,68.0,24.0,69.0,158.0,39.0,119.0,43.0,0.52,0.3,0.21,17.0,10.0,22.0,11.0
41,SMU 🤕,12.2,3.6,15.8,-0.05,0.03,26.0,88.0,69.9,103.0,60.0,33.0,29.0,0.68,0.35,0.32,23.0,12.0,20.0,14.0
