bart,espn_match
Nicholls St.,Nicholls (fuzzy)
Vermont,Vermont
Lindenwood,Lindenwood
Florida Gulf Coast,Florida Gulf Coast
Charleston Southern,Charleston Southern
Purdue Fort Wayne,Purdue Fort Wayne
Iona,Iona
Lamar,Lamar
Southern Miss,Southern Miss
Wofford,Wofford
San Jose St.,San José State (fuzzy)
Ohio,Ohio
Long Beach St.,Long Beach State (fuzzy)
UNC Asheville,UNC Asheville
Old Dominion,Old Dominion
Detroit Mercy,Detroit Mercy
Southern,Southern
Denver,Denver
Incarnate Word,Incarnate Word
Western Michigan,Western Michigan
Georgia Southern,Georgia Southern
Abilene Christian,Abilene Christian
Bethune Cookman,Bethune-Cookman (fuzzy)
Coastal Carolina,Coastal Carolina
Northeastern,Northeastern
James Madison,James Madison
Milwaukee,Milwaukee
Nebraska Omaha,Omaha
Texas St.,Texas State (fuzzy)
Radford,Radford
Tennessee Martin,UT Martin
Howard,Howard
Grambling St.,Grambling (fuzzy)
Brown,Brown
Hampton,Hampton
Cal Poly,Cal Poly
Eastern Kentucky,Eastern Kentucky
Fairfield,Fairfield
SIU Edwardsville,SIU Edwardsville
Le Moyne,Le Moyne
Pepperdine,Pepperdine
Southeast Missouri St.,Southeast Missouri State (fuzzy)
East Texas A&M,East Texas A&M
UTEP,UTEP
South Dakota,South Dakota
Louisiana Tech,Louisiana Tech
Presbyterian,Presbyterian
North Dakota,North Dakota
Georgia St.,Georgia State (fuzzy)
Tennessee St.,Tennessee State (fuzzy)
Southeastern Louisiana,SE Louisiana
UMBC,UMBC
Arkansas Pine Bluff,Arkansas-Pine Bluff (fuzzy)
Southern Utah,Southern Utah
Longwood,Longwood
UC Riverside,UC Riverside
Mercyhurst,Mercyhurst
Chattanooga,Chattanooga
Evansville,Evansville
Florida A&M,Florida A&M
Western Carolina,Western Carolina
Albany,UAlbany (fuzzy)
Sacramento St.,Sacramento State (fuzzy)
Sacred Heart,Sacred Heart
New Hampshire,New Hampshire
IU Indy,IU Indianapolis
Delaware,Delaware
East Carolina,East Carolina
Ball St.,Ball State (fuzzy)
Boston University,Boston University
Mount St. Mary's,Mount St Mary's
Samford,Samford
Loyola Chicago,Loyola Chicago
Northwestern St.,Northwestern State (fuzzy)
Cleveland St.,Cleveland State (fuzzy)
Prairie View A&M,Prairie View A&M
North Carolina A&T,North Carolina A&T
UMass Lowell,UMass Lowell
Central Connecticut,Central Connecticut
Morehead St.,Morehead State (fuzzy)
Houston Christian,Houston Christian
Jacksonville,Jacksonville
UNC Greensboro,UNC Greensboro
Alabama St.,Alabama State (fuzzy)
Alabama A&M,Alabama A&M
USC Upstate,South Carolina Upstate
Cal St. Bakersfield,Cal State Bakersfield (fuzzy)
Lehigh,Lehigh
Eastern Illinois,Eastern Illinois
Lafayette,Lafayette
Bellarmine,Bellarmine
Central Michigan,Central Michigan
Oral Roberts,Oral Roberts
Wagner,Wagner
Northern Arizona,Northern Arizona
Stetson,Stetson
Louisiana,Louisiana
Northern Illinois,Northern Illinois
North Florida,North Florida
Texas Southern,Texas Southern
Little Rock,Little Rock
Bucknell,Bucknell
Norfolk St.,Norfolk State (fuzzy)
West Georgia,West Georgia
Fairleigh Dickinson,Fairleigh Dickinson
Army,Army
Jackson St.,Jackson State (fuzzy)
Holy Cross,Holy Cross
Southern Indiana,Southern Indiana
Manhattan,Manhattan
Maryland Eastern Shore,Maryland Eastern Shore
NJIT,NJIT
New Haven,
Air Force,Air Force
Alcorn St.,Alcorn State (fuzzy)
Canisius,Canisius
Loyola MD,Loyola Maryland
Stonehill,Stonehill
North Alabama,North Alabama
Tennessee Tech,Tennessee Tech
UMKC,UMBC (fuzzy)
North Carolina Central,North Carolina Central
VMI,VMI
Saint Francis,San Francisco (fuzzy)
The Citadel,The Citadel
Niagara,Niagara
Bryant,Bryant
Rider,Rider
Maine,Maine
UTSA,UTSA
Louisiana Monroe,UL Monroe
Chicago St.,Chicago State (fuzzy)
South Carolina St.,South Carolina State (fuzzy)
Delaware St.,Delaware State (fuzzy)
Western Illinois,Western Illinois
Binghamton,Binghamton
Morgan St.,Morgan State (fuzzy)
Gardner Webb,Gardner-Webb (fuzzy)
Coppin St.,Coppin State (fuzzy)
Mississippi Valley St.,Mississippi Valley State (fuzzy)
