Alabama,131.56235231799,103.71215136546,0.93908397170876,13–5,13,18,55.1,47.4,36.1,36.7,12.9,13.2,33.3,33.5,76,57.9,47.2,35,31.9,13.9,11.2,53.1,44.8,53.1,35.3,73.185405068463,78.22667741285514,81.4645,1.4479104179164164,2026,0,0,73.55619999999999,,75.1,69.5,1.226,1.087,37.251
Texas Tech,125.4870457906,99.108807086462,0.93783713920047,15–4,15,19,56.3,49.7,28.6,32,14.9,15.9,33.8,28.9,70,54.4,50.7,39.1,31.9,9.1,7.3,54.2,41,46.1,35,67.339987491094,76.96696574225122,79.334,1.633126625325065,2026,0,0,40.695359999999994,,70.3,68.6,1.197,1.044,33.0588
Tennessee,121.45852232008,96.38263991873,0.93458416379126,12–6,12,18,54.1,46.1,40.5,35.3,18.9,17.8,44.3,29.3,69.1,55,47,34.9,30.1,11.9,10.2,61.6,46.9,34.2,46.1,66.46999467103,78.33549170376365,82.19,1.5429085817163428,2026,0,0,58.991879999999995,,69.2,69.1,1.176,0.982,32.5109
Iowa,121.48799487766,96.565874232833,0.93340970990349,14–5,14,19,58.5,49.1,36.9,38.4,16.1,22.5,31.5,29.1,64.4,59.9,51.2,37.6,30.4,8.5,7.9,60,50,40.5,37.6,63.553848183663,78.46851589390563,80.7875,1.7247449489897977,2026,0,0,13.796920000000004,,76.9,70.8,1.209,0.968,28.057605263158
Saint Louis,124.02724379061,99.373767199278,0.92747607181434,18–1,18,19,60.5,41.9,34.5,38.2,16.7,15.9,33.6,26.1,73,60.7,42.4,40.2,27.4,8.8,10.9,60.3,48.4,44.3,39.6,71.129531674634,77.55051244509518,80.09400000000001,1.930186037207441,2026,0,0,21.71256,,75.4,72.7,1.236,0.94,12.971621052632
Arkansas,128.56309735932,103.01502082862,0.9274233923601,14–5,14,19,56.3,50.4,38.7,28.1,13.6,16.8,33.8,30.6,73.3,55.5,52.8,38.5,31.5,13.7,7,56.9,53,37.2,43.1,71.201764912957,78.43705655787554,81.27250000000002,1.4380000000000006,2026,0,0,80.2336,,75.9,69.5,1.225,1.05,34.392284210526
BYU,123.33308941662,99.307660314765,0.92355503505815,16–2,16,18,56,46.9,36.4,25.5,15.4,17.9,35.7,29.1,71.4,58.3,47.8,35.1,30.4,13.3,7.5,49.5,53.9,40.5,40.7,70.391499785377,77.99310624493107,80.858,1.5906818636272742,2026,0,0,46.51788,,75.2,69,1.212,0.974,27.420616666667
St. John's,121.42518249762,98.607521904719,0.91634820723975,15–5,15,20,52.5,48.2,43.3,32,15.9,20.6,38,32.2,72.7,52.3,47.5,35.3,33.1,12.7,9.4,56,47.6,34.8,34.5,70.281746524183,78.16973791973794,80.4425,2.2567486502699463,2026,0,0,69.57104000000001,,73.1,74.9,1.169,0.999,27.390055
Clemson,117.65132962479,95.647535378694,0.91537763587453,17–4,17,21,53.5,46.2,37.4,35.5,14.6,17.5,30.3,24.8,66.5,55.6,47.1,33.7,29.9,7.7,11.1,50.8,45.5,42.5,41.2,64.523877766005,78.07293783015034,81.613,2.306938612277544,2026,0,0,44.13136,,72.6,73.7,1.146,0.968,25.269061904762
Indiana,124.86793681495,101.7957162139,0.91288012107285,13–7,13,20,56.5,46.5,35.9,38,15.3,16.3,30,28.5,68.4,59.4,46.8,35.8,30.6,7.1,10.7,63.6,44.4,51.2,36.3,66.700022194913,78.00895400895402,80.44050000000001,2.59016393442623,2026,0,0,25.676119999999997,,78.5,74.9,1.187,1.015,27.74297
Texas A&M,122.07263525418,100.69464290693,0.90150162951707,16–4,16,20,56.5,50.2,39.4,36,15.3,20.6,33.7,30.6,73.9,57,51,37.3,32.7,10,10.5,65.1,57.4,47.7,41.3,71.668209935498,77.07141395539185,80.3925,2.4382876575315056,2026,0,0,28.22044,,74.8,74.2,1.221,1.02,21.431415
N.C. State,121.73251251068,100.47976966273,0.9008318418879,14–6,14,20,56.5,50.7,35.9,39.4,13.7,20.1,28.3,27.8,70.2,54.2,51.1,39.4,33.5,11.3,8.3,57,50.5,44.8,48.1,68.886313002338,77.84718826405869,79.57650000000001,2.1736347269453895,2026,0,0,60.536159999999995,,76.2,67.3,1.201,1.012,25.38631
North Carolina,123.6494519926,102.38365866376,0.89755236035243,16–4,16,20,55.6,46.4,41,24.2,14.2,13.8,33.9,28,69.5,58.5,43.8,34.6,33.6,9.4,7.5,59.5,50.4,42.8,38.6,67.935886111079,79.29174387481984,82.77,1.4553089382123572,2026,0,0,63.81552,,67.6,69.4,1.187,1.007,26.56565
Villanova,121.81044158649,101.57437385237,0.88985493806389,15–5,15,20,54.2,50.7,30.6,28.8,15.7,18.6,35.7,32.5,65.3,53.9,49.7,36.3,34.8,6.3,7.2,54.3,51.9,45.1,37.8,62.766680283202,77.60843129306849,80.753,1.5609121824364873,2026,0,0,64.93132,,71.2,67.8,1.172,1.044,28.72647
SMU,125.21541803446,104.42056401884,0.8897807129567,14–5,14,19,55.9,50,34.9,33.3,16.2,18.4,35.7,31.4,72.2,56.2,51.5,36.8,32.1,11.6,6.8,56.9,60.9,33.5,44.9,68.697540180818,78.0391719098843,81.97650000000002,2.0636,2026,0,0,45.34071999999999,,77,71.9,1.195,1.05,29.718936842105
Auburn,125.26665410184,104.81416025775,0.88594174894404,12–7,12,19,53.2,52,47.3,32.1,15.4,17.2,39.3,30.6,70.3,56,51.8,32.6,34.9,13.1,10.5,49.4,51,39.4,41,67.851472304086,78.19183062446537,80.50700000000002,1.4138000000000006,2026,0,0,46.928200000000004,,73.3,75.7,1.199,1.095,36.365263157895
Wisconsin,122.71336280729,102.84424416073,0.88404537213557,14–5,14,19,54.7,50.3,36.3,33.7,14,15.1,29.7,25.1,71.3,57.1,51.4,34.9,32.5,8.8,11,58.4,51,50.7,39.2,70.156915324326,79.02369180057686,82.70100000000002,1.7996400719856034,2026,0,0,37.92216,,77.3,72.3,1.176,1.052,27.785726315789
Utah St.,123.05412496949,103.30302074474,0.88205264167922,15–3,15,18,57.2,49.1,37.2,39.8,16.2,22.3,36.6,32.1,68,59.8,47.4,35.2,34.3,10,9.6,57.3,46.8,37.5,41.7,67.605181577049,77.625,80.86449999999999,2.1785999999999994,2026,0,0,24.35104,,71.1,73,1.202,1.01,18.765694444444
