game_id,season,season_type,home_team,away_team,home_score,away_score,actual_spread,actual_total,off_eff_diff,def_eff_diff,net_eff_diff,spread_net_rating_diff,spread_off_rating_diff,spread_def_rating_diff,spread_ppg_diff,spread_opp_ppg_diff,spread_margin_diff,spread_efg_diff,spread_to_rate_diff,spread_orb_diff,spread_ft_rate_diff,total_combined_off_eff,total_combined_def_eff,total_avg_off_eff,total_avg_def_eff,total_combined_tempo,total_avg_tempo,total_combined_ppg,total_combined_opp_ppg,total_combined_fg_pct,total_combined_3pt_pct,total_projected_total,sample_weight,game_type
53968,2016,regular,Eastern Michigan,Vermont,70,50,-20.0,120.0,-2.3999999999999915,-1.0,-1.4000000000000001,-1.4000000000000001,-2.3999999999999915,-1.0,2.3906633906633914,3.977886977886982,-1.5872235872235905,-0.04899999999999993,-0.010000000000000009,0.06299999999999994,0.06,221.2,219.4,110.6,109.7,130.3,65.15,152.33660933660934,145.1130221130221,0.927,0.694,57.41018000000002,1.0,regular
53970,2016,regular,Yale,Fairfield,70,57,-13.0,127.0,2.299999999999997,0.20000000000000284,2.1,2.1,2.299999999999997,0.20000000000000284,-1.490909090909085,-13.321212121212127,11.830303030303043,0.013000000000000012,0.03,0.07600000000000001,0.08699999999999997,219.7,221.8,109.85,110.9,129.5,64.75,151.35757575757577,140.92121212121214,0.909,0.717,57.17425,1.0,regular
53972,2016,regular,Central Michigan,Jacksonville State,89,83,-6.0,172.0,1.3999999999999915,1.5,0.10000000000000009,0.10000000000000009,1.3999999999999915,1.5,7.864125122189648,0.6930596285434945,7.171065493646154,0.05400000000000005,0.10999999999999999,-0.03500000000000003,-0.009000000000000008,222.8,225.9,111.4,112.95,87.3,43.65,143.34799608993157,144.822091886608,0.843,0.696,39.17151000000001,1.0,regular
53974,2016,regular,Ole Miss,Northwestern State,90,76,-14.0,166.0,69.0,73.69999999999999,-4.699999999999999,-4.699999999999999,69.0,73.69999999999999,-4.272321428571431,-14.11607142857143,9.84375,-0.03699999999999998,-0.04999999999999999,0.033999999999999975,0.043999999999999984,293.0,296.5,146.5,148.25,136.3,68.15,154.58482142857144,158.24107142857144,0.8720000000000001,0.696,80.34885000000003,1.0,regular
53975,2016,regular,Iowa State,Colorado,68,62,-6.0,130.0,2.5999999999999943,0.29999999999999716,2.3,2.3,2.5999999999999943,0.29999999999999716,6.00672268907563,4.205882352941174,1.8008403361344563,0.08300000000000007,-0.03,-0.067,-0.13799999999999996,223.0,219.7,111.5,109.85,135.4,67.7,157.53613445378153,145.79411764705884,0.929,0.776,59.94158,1.0,regular
53976,2016,regular,Pennsylvania,Robert Morris,76,75,-1.0,151.0,-0.5,0.7000000000000028,-1.2,-1.2,-0.5,0.7000000000000028,3.1875,1.0491071428571388,2.138392857142861,0.022999999999999965,0.009999999999999981,-0.004000000000000059,-0.03899999999999998,221.9,223.7,110.95,111.85,129.8,64.9,133.3125,142.73660714285714,0.8430000000000001,0.5800000000000001,57.83888000000001,1.0,regular
53977,2016,regular,Sacred Heart,Quinnipiac,76,64,-12.0,140.0,-0.5999999999999943,0.10000000000000853,-0.7,-0.7,-0.5999999999999943,0.10000000000000853,8.266666666666666,6.833333333333329,1.4333333333333371,0.05299999999999999,0.0,-0.043999999999999984,0.10500000000000004,222.6,223.3,111.3,111.65,129.6,64.8,139.53333333333336,148.89999999999998,0.807,0.6559999999999999,57.78864,1.0,regular
53978,2016,regular,Wright State,South Dakota,77,69,-8.0,146.0,-0.8999999999999915,-3.200000000000003,2.3,2.3,-0.8999999999999915,-3.200000000000003,-7.8008928571428555,-13.481250000000003,5.680357142857147,-0.0040000000000000036,-0.020000000000000018,-0.05600000000000002,0.019000000000000017,220.7,221.2,110.35,110.6,119.4,59.7,144.88660714285714,145.08125,0.914,0.7290000000000001,52.76286,1.0,regular
53979,2016,regular,St. John's,Wagner,66,57,-9.0,123.0,2.0,1.7999999999999972,0.19999999999999996,0.19999999999999996,2.0,1.7999999999999972,-2.327205882352942,12.279411764705884,-14.606617647058826,-0.012999999999999956,0.01999999999999999,-0.049000000000000044,0.05399999999999999,223.6,221.8,111.8,110.9,137.2,68.6,138.20220588235293,142.22058823529412,0.8300000000000001,0.655,61.10887999999999,1.0,regular
53983,2016,regular,Eastern Kentucky,Coppin State,107,80,-27.0,187.0,1.5,-1.4000000000000057,2.8,2.8,1.5,-1.4000000000000057,8.290322580645153,-1.4193548387096797,9.709677419354833,0.11899999999999994,-0.21999999999999997,-0.08000000000000002,0.01699999999999996,223.9,224.0,111.95,112.0,102.1,51.05,152.80645161290323,159.67741935483872,0.875,0.728,45.73059,1.0,regular
53990,2016,regular,Boston University,Northeastern,84,87,3.0,171.0,1.3999999999999915,-0.8000000000000114,2.2,2.2,1.3999999999999915,-0.8000000000000114,1.029411764705884,1.5918003565062406,-0.5623885918003566,0.008000000000000007,0.01999999999999999,-0.010000000000000009,-0.026000000000000023,221.2,221.0,110.6,110.5,124.69999999999999,62.349999999999994,145.02941176470588,143.349376114082,0.893,0.735,55.14233999999999,1.0,regular
53989,2016,regular,Furman,Presbyterian,63,53,-10.0,116.0,-3.0,-4.200000000000003,1.1999999999999997,1.1999999999999997,-3.0,-4.200000000000003,3.5410138248848,-6.213824884792629,9.75483870967743,0.04700000000000004,0.01999999999999999,0.025000000000000022,0.06300000000000006,222.8,229.2,111.4,114.6,130.8,65.4,138.57327188940093,139.52811059907833,0.887,0.617,59.1216,1.0,regular
