game_id,season,season_type,home_team,away_team,home_score,away_score,actual_spread,actual_total,off_eff_diff,def_eff_diff,net_eff_diff,spread_net_rating_diff,spread_off_rating_diff,spread_def_rating_diff,spread_ppg_diff,spread_opp_ppg_diff,spread_margin_diff,spread_efg_diff,spread_to_rate_diff,spread_orb_diff,spread_ft_rate_diff,total_combined_off_eff,total_combined_def_eff,total_avg_off_eff,total_avg_def_eff,total_combined_tempo,total_avg_tempo,total_combined_ppg,total_combined_opp_ppg,total_combined_fg_pct,total_combined_3pt_pct,total_projected_total
18409,2022,regular,Washington State,Alcorn State,85,67,-18.0,152.0,-2.5,-2.4000000000000057,-0.10000000000000009,-0.10000000000000009,-2.5,-2.4000000000000057,4.9300476947535685,-6.223370429252782,11.15341812400635,0.02100000000000002,-0.11000000000000001,0.007000000000000062,-0.026000000000000023,219.9,223.4,109.95,111.7,114.6,57.3,137.98887122416534,135.95310015898252,0.8180000000000001,0.651,50.80218
18392,2022,regular,Villanova,Mount St. Mary's,91,51,-40.0,142.0,0.29999999999999716,-3.299999999999997,3.6,3.6,0.29999999999999716,-3.299999999999997,5.603508771929825,-2.556140350877193,8.159649122807018,0.019000000000000017,-0.04000000000000001,-0.01100000000000001,0.034999999999999976,225.3,221.89999999999998,112.65,110.94999999999999,125.1,62.55,137.8701754385965,127.97719298245613,0.875,0.704,55.94472
18412,2022,regular,California,UC San Diego,67,80,13.0,147.0,9.399999999999991,1.8999999999999915,7.6,7.6,9.399999999999991,1.8999999999999915,-7.144396551724142,-4.489224137931032,-2.6551724137931103,-0.05900000000000005,0.0,0.05500000000000002,-0.068,212.8,218.7,106.4,109.35,125.2,62.6,133.26939655172413,136.61422413793105,0.864,0.6779999999999999,54.02380000000001
18413,2022,regular,South Florida,Bethune-Cookman,75,54,-21.0,129.0,-0.30000000000001137,-1.5,1.1,1.1,-0.30000000000001137,-1.5,-5.915053763440859,-4.630107526881716,-1.2849462365591435,-0.045999999999999985,-0.03,0.010000000000000009,-0.032999999999999974,219.5,222.9,109.75,111.45,123.9,61.95,120.81827956989247,134.43655913978495,0.79,0.589,54.81336
18401,2022,regular,Ohio State,Akron,67,66,-1.0,133.0,-0.20000000000000284,-2.700000000000003,2.4,2.4,-0.20000000000000284,-2.700000000000003,2.134191176470594,5.040441176470587,-2.906249999999993,0.010000000000000009,-0.009999999999999981,-0.02100000000000002,-0.05600000000000005,222.2,218.7,111.1,109.35,125.9,62.95,143.4283088235294,130.33455882352942,0.931,0.719,55.509310000000006
18416,2022,regular,Little Rock,Southern Illinois,69,66,-3.0,135.0,-0.7999999999999972,-0.5,-0.29999999999999993,-0.29999999999999993,-0.7999999999999972,-0.5,2.68202764976958,11.752304147465445,-9.070276497695865,-0.03500000000000003,0.009999999999999981,0.038000000000000034,0.03500000000000003,221.39999999999998,222.5,110.69999999999999,111.25,121.3,60.65,130.74654377880182,134.46198156682027,0.8680000000000001,0.6910000000000001,53.84507
18419,2022,regular,Indiana,Eastern Michigan,68,62,-6.0,130.0,6.3999999999999915,3.8999999999999915,2.5,2.5,6.3999999999999915,3.8999999999999915,1.6709677419354847,-9.828571428571422,11.499539170506907,0.02100000000000002,-0.03,0.008000000000000007,0.03200000000000003,225.2,222.3,112.6,111.15,132.5,66.25,139.92903225806452,142.17142857142858,0.885,0.641,59.29375
18418,2022,regular,VCU,Saint Peter's,57,54,-3.0,111.0,1.2999999999999972,-2.700000000000003,4.0,4.0,1.2999999999999972,-2.700000000000003,0.09191176470588402,-0.09375,0.18566176470588402,0.03400000000000003,0.01999999999999999,-0.04199999999999998,-0.062,221.10000000000002,219.89999999999998,110.55000000000001,109.94999999999999,131.3,65.65,134.03308823529412,124.90625,0.8880000000000001,0.6970000000000001,57.903300000000016
18407,2022,regular,UConn,Central Connecticut,99,48,-51.0,147.0,1.2000000000000028,-4.299999999999997,5.5,5.5,1.2000000000000028,-4.299999999999997,13.036931818181813,-6.821969696969703,19.858901515151516,0.035999999999999976,-0.03,0.051000000000000045,0.013999999999999957,221.60000000000002,219.7,110.80000000000001,109.85,126.5,63.25,136.5994318181818,137.4280303030303,0.828,0.6940000000000001,55.824450000000006
18421,2022,regular,Butler,IU Indianapolis,56,47,-9.0,103.0,1.2000000000000028,-1.7999999999999972,3.0,3.0,1.2000000000000028,-1.7999999999999972,11.400208986415883,-0.1985370950888239,11.598746081504707,0.04999999999999999,-0.10000000000000003,-0.05399999999999994,0.03999999999999998,220.8,223.60000000000002,110.4,111.80000000000001,120.80000000000001,60.400000000000006,116.29676071055383,134.0773249738767,0.796,0.597,53.683520000000016
18449,2022,regular,Rhode Island,Boston University,71,62,-9.0,133.0,1.4000000000000057,2.9000000000000057,-1.5,-1.5,1.4000000000000057,2.9000000000000057,-3.442396313364057,-2.6857142857142833,-0.7566820276497737,-0.016000000000000014,0.01999999999999999,-0.02699999999999997,0.07,224.0,223.1,112.0,111.55,129.9,64.95,137.70046082949307,132.68571428571428,0.9099999999999999,0.6910000000000001,58.07829000000002
18397,2022,regular,Oregon,Texas Southern,83,66,-17.0,149.0,72.9,64.00000000000001,8.9,8.9,72.9,64.00000000000001,3.3116071428571416,3.620535714285708,-0.30892857142856656,0.02999999999999997,-0.04999999999999999,-0.0010000000000000009,-0.04400000000000004,296.70000000000005,288.6,148.35000000000002,144.3,135.0,67.5,141.37410714285716,135.80803571428572,0.884,0.647,79.01550000000003
